Title,redump_name,serial,MCPFile,EMUFile,PSPSerial,Language,Developer,Genre,Publisher,Release_Date,Region,uuid,Filename
0 kara no Mahjong: Mahjong Youchien Tamago-gumi,0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),SLPS-01311,SLPS-01311-1.mcd,SLPS-01311_1.mcd,SLPS01311,Japanese,Affect,Mahjong,Affect,3/13/1998,NTSC-J,1998-02-03-21-00-00-00,-1.mcd
0 kara no Shougi: Shougi Youchien Ayumi-gumi,0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),SLPS-01986,SLPS-01986-1.mcd,SLPS-01986_1.mcd,SLPS01986,Japanese,Affect,Board / Shogi,Affect,4/8/1999,NTSC-J,1999-02-21-00-00-00-00,_1.mcd
007: Demain ne Meurt Jamais,007 - Demain ne Meurt Jamais (France),SLES-02375,SLES-02375-1.mcd,SLES-02375_1.mcd,SLES02375,French,Black Ops Entertaiment,Action / Shooter / Driving,Electronic Arts,11/25/1999,PAL,1999-10-05-11-30-17-00,
007: Der Morgen Stirbt Nie,007 - Der Morgen Stirbt Nie (Germany),SLES-02376,SLES-02376-1.mcd,SLES-02376_1.mcd,SLES02376,German,Black Ops Entertaiment,Action / Shooter / Driving,Electronic Arts,11/25/1999,PAL,1999-10-15-15-02-37-00,
007: Die Welt Ist Nicht Genug,007 - Die Welt Ist Nicht Genug (Germany),SLES-03136,SLES-03136-1.mcd,SLES-03136_1.mcd,SLES03136,German,Black Ops Entertaiment,First person Shooter,Electronic Arts,11/17/2000,PAL,0000-09-25-12-56-24-00,
007: El Mundo Nunca es Suficiente,007 - El Mundo Nunca es Suficiente (Spain),SLES-03137,SLES-03137-1.mcd,SLES-03137_1.mcd,SLES03137,Spanish,Black Ops Entertaiment,First person Shooter,Electronic Arts,11/17/2000,PAL,0000-09-22-12-56-24-00,
007: Le Monde ne Suffit Pas,007 - Le Monde ne Suffit Pas (France),SLES-03135,SLES-03135-1.mcd,SLES-03135_1.mcd,SLES03135,French,Black Ops Entertaiment,First person Shooter,Electronic Arts,11/17/2000,PAL,0000-09-22-12-56-24-00,
007: The World Is Not Enough,007 - The World Is Not Enough (Europe),SLES-03134,SLES-03134-1.mcd,SLES-03134_1.mcd,SLES03134,English,Black Ops Entertaiment,First person Shooter,Electronic Arts,11/17/2000,PAL,0000-09-22-12-56-24-00,
007: The World Is Not Enough,007 - The World Is Not Enough (Sweden),SLES-03138,SLES-03138-1.mcd,SLES-03138_1.mcd,SLES03138,Swedish,Black Ops Entertaiment,First person Shooter,Electronic Arts,11/17/2000,PAL,0000-09-22-12-56-24-00,
007: The World Is Not Enough,007 - The World Is Not Enough (USA),SLUS-01272,SLUS-01272-1.mcd,SLUS-01272_1.mcd,SLUS01272,English,Black Ops Entertaiment,First person Shooter,Electronic Arts,11/8/2000,NTSC-U,0000-08-26-21-01-27-00,
007: Tomorrow Never Dies,007 - Tomorrow Never Dies (Europe),SLES-01324,SLES-01324-1.mcd,SLES-01324_1.mcd,SLES01324,English,Black Ops Entertaiment,Action / Shooter / Driving,Electronic Arts,11/25/1999,PAL,1999-10-15-15-02-37-00,
007: Tomorrow Never Dies,007 - Tomorrow Never Dies (Japan),SLPS-02604,SLPS-02604-1.mcd,SLPS-02604_1.mcd,SLPS02604,Japanese,Black Ops Entertaiment,Action / Shooter / Driving,Electronic Arts,2/10/2000,NTSC-J,1999-12-20-00-00-00-00,
007: Tomorrow Never Dies,007 - Tomorrow Never Dies (USA),SLUS-00975,SLUS-00975-1.mcd,SLUS-00975_1.mcd,SLUS00975,English,Black Ops Entertaiment,Action / Shooter / Driving,Electronic Arts,11/16/1999,NTSC-U,1999-10-15-15-02-37-00,
007 Racing,007 Racing (Europe),SLES-03355,SLES-03355-1.mcd,SLES-03355_1.mcd,SLES03355,English,Eutechnyx,Action / Shooter / Driving,Electronic Arts,12/10/2000,PAL,0000-10-30-00-00-00-00,
